,infested_lakes,budget,NG,first_PNE,best_PNE,OSW,,,
aitkin,3,12,23746,24956,24982,29013,TRUE,TRUE,TRUE
anoka,10,6,11292,12466,12495,15723,TRUE,TRUE,TRUE
becker,10,15,24219,26489,26497,31712,TRUE,TRUE,TRUE
beltrami,10,8,18720,20049,20061,23756,TRUE,TRUE,TRUE
benton,0,1,1571,1688,1688,1779,TRUE,TRUE,TRUE
big stone,0,3,4555,4827,4827,5664,TRUE,TRUE,TRUE
blue earth,3,5,4712,4924,4932,5439,TRUE,TRUE,TRUE
brown,0,2,2338,2436,2436,2805,TRUE,TRUE,TRUE
carlton,3,3,5393,5808,5813,6910,TRUE,TRUE,TRUE
carver,27,6,6664,7306,7331,8211,TRUE,TRUE,TRUE
cass,11,21,40151,42450,42500,48926,TRUE,TRUE,TRUE
chippewa,0,1,60,60,60,60,TRUE,TRUE,TRUE
chisago,11,6,5463,5923,5930,6827,TRUE,TRUE,TRUE
clay,0,1,2075,2481,2485,2893,TRUE,TRUE,TRUE
clearwater,1,4,8484,9210,9235,10484,TRUE,TRUE,TRUE
cook,15,9,28157,29949,30031,34442,TRUE,TRUE,TRUE
cottonwood,0,2,2713,2824,2824,3212,TRUE,TRUE,TRUE
crow wing,39,31,38044,39727,39789,46254,TRUE,TRUE,TRUE
dakota,19,5,6958,7400,7406,8664,TRUE,TRUE,TRUE
dodge,0,0,7,7,7,7,TRUE,TRUE,TRUE
douglas,27,11,16827,18127,18136,22158,TRUE,TRUE,TRUE
faribault,0,1,251,251,251,251,TRUE,TRUE,TRUE
freeborn,0,2,1172,1172,1172,1172,TRUE,TRUE,TRUE
goodhue,2,3,770,845,845,879,TRUE,TRUE,TRUE
grant,3,2,6635,7389,7391,8817,TRUE,TRUE,TRUE
hennepin,44,13,21136,22442,22474,27024,TRUE,TRUE,TRUE
hubbard,2,11,22780,24426,24444,29543,TRUE,TRUE,TRUE
isanti,6,3,3635,3876,3884,4227,TRUE,TRUE,TRUE
itasca,11,28,51214,53588,53640,61367,TRUE,TRUE,TRUE
jackson,0,3,3061,3167,3171,3474,TRUE,TRUE,TRUE
kanabec,1,2,3697,3917,3927,4634,TRUE,TRUE,TRUE
kandiyohi,12,11,15551,16438,16450,18723,TRUE,TRUE,TRUE
