filename,n,m,bg,type,R,trials,successes,failures,q_mu(R),avg_rounds_all,expected_step_bound,seconds
2-25-2-cij.txt,2,25,2,cij,20,200,200,0,1.0,3.08,40.0,0.34
2-25-2-pot.txt,2,25,2,pot,20,200,200,0,1.0,2.5,40.0,0.3
2-25-5-cij.txt,2,25,5,cij,20,200,200,0,1.0,3.215,40.0,0.45
2-25-5-pot.txt,2,25,5,pot,20,200,200,0,1.0,2.72,40.0,0.34
2-25-8-cij.txt,2,25,8,cij,20,200,200,0,1.0,2.845,40.0,0.42
2-25-8-cij-n.txt,2,25,8,cij-n,20,200,200,0,1.0,2.62,40.0,0.27
2-25-8-pot.txt,2,25,8,pot,20,200,200,0,1.0,2.94,40.0,0.44
2-50-2-cij.txt,2,50,2,cij,20,200,200,0,1.0,3.515,40.0,0.63
2-50-2-cij-n.txt,2,50,2,cij-n,20,200,200,0,1.0,3.655,40.0,0.63
2-50-2-pot.txt,2,50,2,pot,20,200,200,0,1.0,3.175,40.0,0.58
2-50-5-cij.txt,2,50,5,cij,20,200,200,0,1.0,3.705,40.0,0.87
2-50-5-pot.txt,2,50,5,pot,20,200,200,0,1.0,2.58,40.0,0.56
2-50-8-cij.txt,2,50,8,cij,20,200,200,0,1.0,3.04,40.0,0.7
2-50-8-cij-n.txt,2,50,8,cij-n,20,200,200,0,1.0,3.035,40.0,0.38
2-50-8-pot.txt,2,50,8,pot,20,200,200,0,1.0,2.705,40.0,0.66
2-75-2-cij.txt,2,75,2,cij,20,200,200,0,1.0,3.28,40.0,0.88
2-75-2-cij-n.txt,2,75,2,cij-n,20,200,3,197,0.015,19.75,2666.666666666667,5.36
2-75-2-pot.txt,2,75,2,pot,20,200,200,0,1.0,3.25,40.0,0.75
2-75-5-cij.txt,2,75,5,cij,20,200,200,0,1.0,3.965,40.0,1.21
2-75-5-pot.txt,2,75,5,pot,20,200,200,0,1.0,3.565,40.0,1.14
2-75-8-cij.txt,2,75,8,cij,20,200,200,0,1.0,3.69,40.0,2.95
2-75-8-cij-n.txt,2,75,8,cij-n,20,200,74,126,0.37,13.85,108.10810810810811,2.92
2-75-8-pot.txt,2,75,8,pot,20,200,200,0,1.0,3.455,40.0,1.62
2-100-2-cij.txt,2,100,2,cij,20,200,200,0,1.0,3.26,40.0,1.08
2-100-2-cij-n.txt,2,100,2,cij-n,20,200,156,44,0.78,7.53,51.28205128205128,2.59
2-100-2-pot.txt,2,100,2,pot,20,200,200,0,1.0,3.255,40.0,1.03
2-100-5-cij.txt,2,100,5,cij,20,200,200,0,1.0,3.575,40.0,5.61
2-100-5-pot.txt,2,100,5,pot,20,200,200,0,1.0,3.655,40.0,1.56
2-100-8-cij.txt,2,100,8,cij,20,200,200,0,1.0,3.305,40.0,5.99
2-100-8-pot.txt,2,100,8,pot,20,200,200,0,1.0,3.17,40.0,4.5
3-25-2-cij.txt,3,25,2,cij,20,200,200,0,1.0,3.45,60.0,0.82
3-25-2-cij-n.txt,3,25,2,cij-n,20,200,1,199,0.005,19.915,12000.0,3.42
3-25-2-pot.txt,3,25,2,pot,20,200,200,0,1.0,3.21,60.0,0.6
3-25-5-cij.txt,3,25,5,cij,20,200,200,0,1.0,3.635,60.0,0.83
3-25-5-pot.txt,3,25,5,pot,20,200,200,0,1.0,3.4,60.0,0.79
3-25-8-cij.txt,3,25,8,cij,20,200,200,0,1.0,3.455,60.0,0.74
3-25-8-pot.txt,3,25,8,pot,20,200,200,0,1.0,3.145,60.0,0.75
3-50-2-cij.txt,3,50,2,cij,20,200,200,0,1.0,4.05,60.0,1.26
3-50-2-pot.txt,3,50,2,pot,20,200,200,0,1.0,3.59,60.0,0.99
3-50-5-cij.txt,3,50,5,cij,20,200,200,0,1.0,4.43,60.0,1.57
3-50-5-pot.txt,3,50,5,pot,20,200,200,0,1.0,3.165,60.0,1.25
3-50-8-cij.txt,3,50,8,cij,20,200,200,0,1.0,3.63,60.0,1.34
3-50-8-pot.txt,3,50,8,pot,20,200,200,0,1.0,3.775,60.0,1.56
3-75-2-pot.txt,3,75,2,pot,20,200,200,0,1.0,4.335,60.0,1.71
3-75-5-cij.txt,3,75,5,cij,20,200,200,0,1.0,4.545,60.0,2.19
3-75-5-pot.txt,3,75,5,pot,20,200,200,0,1.0,3.415,60.0,1.81
3-75-8-cij.txt,3,75,8,cij,20,200,200,0,1.0,4.11,60.0,2.37
3-75-8-pot.txt,3,75,8,pot,20,200,200,0,1.0,4.125,60.0,2.35
3-100-5-pot.txt,3,100,5,pot,20,200,200,0,1.0,4.655,60.0,7.34
3-100-8-pot.txt,3,100,8,pot,20,200,200,0,1.0,4.015,60.0,9.56
