filename,n,m,bg,type,R,trials,successes,failures,q_mu(R),avg_rounds_all,expected_step_bound,seconds
2-25-2-cij.txt,2,25,2,cij,20,200,200,0,1.0,3.08,40.0,0.34
2-25-5-cij.txt,2,25,5,cij,20,200,200,0,1.0,3.215,40.0,0.45
2-25-8-cij.txt,2,25,8,cij,20,200,200,0,1.0,2.845,40.0,0.42
2-50-2-cij.txt,2,50,2,cij,20,200,200,0,1.0,3.515,40.0,0.63
2-50-5-cij.txt,2,50,5,cij,20,200,200,0,1.0,3.705,40.0,0.87
2-50-8-cij.txt,2,50,8,cij,20,200,200,0,1.0,3.04,40.0,0.7
2-75-2-cij.txt,2,75,2,cij,20,200,200,0,1.0,3.28,40.0,0.88
2-75-5-cij.txt,2,75,5,cij,20,200,200,0,1.0,3.965,40.0,1.21
2-75-8-cij.txt,2,75,8,cij,20,200,200,0,1.0,3.69,40.0,2.95
2-100-2-cij.txt,2,100,2,cij,20,200,200,0,1.0,3.26,40.0,1.08
2-100-5-cij.txt,2,100,5,cij,20,200,200,0,1.0,3.575,40.0,5.61
2-100-8-cij.txt,2,100,8,cij,20,200,200,0,1.0,3.305,40.0,5.99
3-25-2-cij.txt,3,25,2,cij,20,200,200,0,1.0,3.45,60.0,0.82
3-25-5-cij.txt,3,25,5,cij,20,200,200,0,1.0,3.635,60.0,0.83
3-25-8-cij.txt,3,25,8,cij,20,200,200,0,1.0,3.455,60.0,0.74
3-50-2-cij.txt,3,50,2,cij,20,200,200,0,1.0,4.05,60.0,1.26
3-50-5-cij.txt,3,50,5,cij,20,200,200,0,1.0,4.43,60.0,1.57
3-50-8-cij.txt,3,50,8,cij,20,200,200,0,1.0,3.63,60.0,1.34
3-75-5-cij.txt,3,75,5,cij,20,200,200,0,1.0,4.545,60.0,2.19
3-75-8-cij.txt,3,75,8,cij,20,200,200,0,1.0,4.11,60.0,2.37
