filename,n,m,bg,type,R,trials,successes,failures,q_mu(R),avg_rounds_all,expected_step_bound,seconds
2-25-2-pot.txt,2,25,2,pot,20,200,200,0,1.0,2.5,40.0,0.3
2-25-5-pot.txt,2,25,5,pot,20,200,200,0,1.0,2.72,40.0,0.34
2-25-8-pot.txt,2,25,8,pot,20,200,200,0,1.0,2.94,40.0,0.44
2-50-2-pot.txt,2,50,2,pot,20,200,200,0,1.0,3.175,40.0,0.58
2-50-5-pot.txt,2,50,5,pot,20,200,200,0,1.0,2.58,40.0,0.56
2-50-8-pot.txt,2,50,8,pot,20,200,200,0,1.0,2.705,40.0,0.66
2-75-2-pot.txt,2,75,2,pot,20,200,200,0,1.0,3.25,40.0,0.75
2-75-5-pot.txt,2,75,5,pot,20,200,200,0,1.0,3.565,40.0,1.14
2-75-8-pot.txt,2,75,8,pot,20,200,200,0,1.0,3.455,40.0,1.62
2-100-2-pot.txt,2,100,2,pot,20,200,200,0,1.0,3.255,40.0,1.03
2-100-5-pot.txt,2,100,5,pot,20,200,200,0,1.0,3.655,40.0,1.56
2-100-8-pot.txt,2,100,8,pot,20,200,200,0,1.0,3.17,40.0,4.5
3-25-2-pot.txt,3,25,2,pot,20,200,200,0,1.0,3.21,60.0,0.6
3-25-5-pot.txt,3,25,5,pot,20,200,200,0,1.0,3.4,60.0,0.79
3-25-8-pot.txt,3,25,8,pot,20,200,200,0,1.0,3.145,60.0,0.75
3-50-2-pot.txt,3,50,2,pot,20,200,200,0,1.0,3.59,60.0,0.99
3-50-5-pot.txt,3,50,5,pot,20,200,200,0,1.0,3.165,60.0,1.25
3-50-8-pot.txt,3,50,8,pot,20,200,200,0,1.0,3.775,60.0,1.56
3-75-2-pot.txt,3,75,2,pot,20,200,200,0,1.0,4.335,60.0,1.71
3-75-5-pot.txt,3,75,5,pot,20,200,200,0,1.0,3.415,60.0,1.81
3-75-8-pot.txt,3,75,8,pot,20,200,200,0,1.0,4.125,60.0,2.35
3-100-5-pot.txt,3,100,5,pot,20,200,200,0,1.0,4.655,60.0,7.34
3-100-8-pot.txt,3,100,8,pot,20,200,200,0,1.0,4.015,60.0,9.56
