n,k,inst,total_inits,successes,q_mu(R),avg_rounds_all,expected_step_bound,seconds
2,3,1,64,64,1.00,2.84,20.0,0.01
2,3,2,64,64,1.00,2.83,20.0,0.00
2,3,3,64,64,1.00,2.52,20.0,0.00
2,3,4,64,64,1.00,2.58,20.0,0.00
2,3,5,64,64,1.00,2.66,20.0,0.00
2,3,6,64,64,1.00,2.44,20.0,0.00
2,3,7,64,64,1.00,2.73,20.0,0.00
2,3,8,64,64,1.00,2.63,20.0,0.00
2,3,9,64,64,1.00,2.39,20.0,0.00
2,3,10,64,64,1.00,2.34,20.0,0.00
2,4,1,256,256,1.00,2.34,20.0,0.02
2,4,2,256,64,0.25,8.04,80.0,0.11
2,4,3,256,256,1.00,3.18,20.0,0.05
2,4,4,256,256,1.00,2.62,20.0,0.03
2,4,5,256,256,1.00,2.84,20.0,0.05
2,4,6,256,256,1.00,2.88,20.0,0.04
2,4,7,256,256,1.00,2.20,20.0,0.02
2,4,8,256,256,1.00,3.63,20.0,0.05
2,4,9,256,256,1.00,2.13,20.0,0.02
2,4,10,256,256,1.00,2.41,20.0,0.04
3,3,1,512,410,0.80,6.32,37.5,0.13
3,3,2,512,287,0.56,6.58,53.5,0.12
3,3,3,512,176,0.34,7.56,87.3,0.14
3,3,4,512,332,0.65,5.86,46.3,0.13
3,3,5,512,45,0.09,9.37,341.3,0.16
3,3,6,512,512,1.00,2.89,30.0,0.06
3,3,7,512,69,0.13,8.98,222.6,0.20
3,3,8,512,334,0.65,5.79,46.0,0.12
3,3,9,512,310,0.61,6.66,49.5,0.14
3,3,10,512,512,1.00,3.80,30.0,0.09
3,4,1,4096,4096,1.00,3.42,30.0,1.09
3,4,2,4096,2542,0.62,6.86,48.3,2.20
3,4,3,4096,612,0.15,9.31,200.8,2.95
3,4,4,4096,3173,0.77,6.04,38.7,1.92
3,4,5,4096,4096,1.00,3.41,30.0,1.16
3,4,6,4096,2542,0.62,6.47,48.3,2.10
3,4,7,4096,3566,0.87,4.65,34.5,1.59
3,4,8,4096,943,0.23,8.36,130.3,2.62
3,4,9,4096,4096,1.00,3.93,30.0,1.30
3,4,10,4096,3702,0.90,4.58,33.2,1.61
